,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2019,키움,한국,27,P,2,0,2,0,0,0,0,0,0,0,0.2,2,2,0.95,5,2,1,0,0,1,0,0,1,0,0,0,27.00,27.00,,4.82,4.50,
1,2019,키움,플옵,27,P,1,0,1,0,0,0,0,0,0,0,0.0,1,1,0.65,2,2,0,0,0,0,0,0,0,0,0,0,99.99,99.99,,3.77,99.99,
2,2019,키움,준플,27,P,3,0,3,0,0,0,0,0,0,1,2.0,0,0,0.00,9,3,0,0,0,0,0,0,1,0,0,0,0.00,0.00,,2.52,1.50,
3,2020,키움,와카,28,P,1,0,1,1,0,0,0,0,0,0,0.1,0,0,1.05,4,2,0,0,0,1,0,1,0,0,0,1,0.00,0.00,,13.55,9.00,
4,2021,키움,와카,29,P,1,0,1,0,0,0,0,0,0,0,0.2,0,0,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,3.71,0.00,
5,2022,키움,한국,30,P,3,0,3,1,0,0,0,0,0,0,2.1,3,3,4.55,13,5,2,0,1,0,0,0,1,1,0,0,11.57,11.57,,7.77,2.14,
6,2022,키움,플옵,30,P,1,0,1,0,0,0,0,0,0,0,1.0,1,1,1.50,5,1,0,0,0,0,0,0,0,0,0,0,9.00,9.00,,3.74,1.00,
7,2022,키움,준플,30,P,2,0,2,1,0,0,0,0,0,0,1.0,3,3,2.30,7,4,0,0,1,0,0,0,1,0,0,0,27.00,27.00,,13.14,4.00,
8,2024,삼성,한국,32,P,3,0,3,1,0,0,0,1,0,0,2.0,4,5,3.65,11,3,0,0,1,2,0,0,1,0,0,0,18.00,22.50,,12.00,2.50,
9,2024,삼성,플옵,32,P,3,0,3,1,0,0,0,0,0,0,3.0,1,1,2.20,11,2,0,0,1,1,0,0,4,0,0,0,3.00,3.00,,5.87,1.00,
