,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2008,한화,19,2B,46,,,,,,1,,,0.59,,,,,,,,0.59,1.86,,,0.061,
1,2009,한화,20,2B,79,,,,,,10,,,-0.52,,,,,,,,-0.52,-0.96,,,-0.048,
2,2010,한화,21,3B,108,,,,,,2,,,2.91,,,,,,,,2.91,3.87,,,0.274,
3,2011,한화,22,2B,68,,,,,,5,,,0.79,,,,,,,,0.79,1.68,,,0.079,
4,2012,한화,23,3B,110,,,,,,6,,,0.6,,,,,,,,0.6,0.78,,,0.063,
5,2013,한화,24,1B,7,3.0,32.0,30.0,23.0,7.0,0,100.0,8.44,0.62,,0.04,,,,,,0.66,1.03,-0.3,0.36,0.066,0.036
6,2013,한화,24,2B,10,5.0,41.2,25.0,11.0,14.0,0,100.0,5.4,-0.45,,0.06,-0.21,,,,,-0.6,-0.95,0.17,-0.43,-0.061,-0.044
7,2013,한화,24,3B,70,57.0,516.0,150.0,45.0,101.0,4,97.3,2.55,-2.77,,0.05,-0.33,-0.28,,,,-3.32,-5.2,0.0,-3.32,-0.334,-0.334
8,2013,한화,24,SS,1,0.0,2.0,0.0,0.0,0.0,0,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.02,0.02,0.0,0.002
9,2016,한화,27,2B,15,3.0,66.0,44.0,22.0,22.0,0,100.0,6.0,0.58,,0.09,0.08,,,,,0.75,1.89,0.24,0.99,0.066,0.087
10,2016,한화,27,3B,31,2.0,73.0,27.0,10.0,17.0,0,100.0,3.33,2.23,,0.09,-0.35,0.19,,,,2.16,5.47,0.0,2.16,0.192,0.192
11,2016,한화,27,SS,7,0.0,11.2,6.0,2.0,4.0,0,100.0,4.63,0.8,,0.02,,,,,,0.81,2.05,0.08,0.89,0.072,0.079
12,2017,한화,28,2B,33,26.0,236.0,125.0,49.0,72.0,4,96.8,4.61,-4.1,,-0.27,-0.57,,,,,-4.94,-10.95,1.24,-3.7,-0.454,-0.34
13,2017,한화,28,3B,30,13.0,145.0,34.0,11.0,23.0,0,100.0,2.11,-0.78,,0.12,-0.35,-0.31,,,,-1.32,-2.92,0.0,-1.32,-0.121,-0.121
14,2017,한화,28,SS,6,5.0,34.0,17.0,8.0,9.0,0,100.0,4.5,-0.71,,0.05,-0.33,,,,,-0.99,-2.19,0.3,-0.69,-0.091,-0.063
15,2018,한화,29,2B,17,10.0,79.2,38.0,10.0,27.0,1,97.4,4.18,-1.07,,0.11,0.3,,,,,-0.66,-1.7,0.3,-0.36,-0.059,-0.032
16,2018,한화,29,3B,41,27.0,248.0,63.0,17.0,42.0,4,93.7,2.14,-3.1,,0.24,0.84,0.51,,,,-1.52,-3.9,0.0,-1.52,-0.135,-0.135
17,2018,한화,29,SS,4,3.0,22.0,10.0,1.0,9.0,0,100.0,4.09,0.38,,0.04,-0.4,,,,,0.02,0.05,0.22,0.24,0.002,0.021
18,2019,한화,30,2B,3,3.0,18.0,13.0,6.0,7.0,0,100.0,6.5,-0.57,,0.03,,,,,,-0.55,-0.65,0.11,-0.44,-0.056,-0.045
19,2019,한화,30,3B,4,0.0,9.0,3.0,1.0,2.0,0,100.0,3.0,-0.59,,0.01,-0.14,,,,,-0.72,-0.85,0.0,-0.72,-0.074,-0.074
20,2019,한화,30,SS,120,113.0,954.2,475.0,160.0,303.0,12,97.5,4.36,-5.09,,0.34,1.04,,,,,-3.7,-4.37,8.74,5.04,-0.381,0.518
21,2020,한화,31,2B,24,7.0,105.1,57.0,22.0,34.0,1,98.2,4.78,-1.39,,0.1,-0.74,,,,,-2.03,-3.14,0.45,-1.58,-0.19,-0.148
22,2020,한화,31,3B,31,15.0,163.2,49.0,10.0,37.0,2,95.9,2.58,3.18,,0.1,0.24,,,,,3.52,5.45,0.0,3.52,0.331,0.331
23,2020,한화,31,SS,43,22.0,234.1,100.0,35.0,64.0,1,99.0,3.8,-2.37,,0.34,2.81,,,,,0.78,1.21,2.0,2.78,0.073,0.261
24,2021,삼성,32,2B,2,0.0,3.0,2.0,1.0,1.0,0,100.0,6.0,,,0.0,,,,,,0.0,0.02,0.01,0.01,0.0,0.001
25,2021,삼성,32,SS,21,10.0,111.0,44.0,20.0,22.0,2,95.5,3.41,-1.86,,0.18,-1.23,,,,,-2.92,-18.25,0.88,-2.04,-0.289,-0.202
26,2022,삼성,33,2B,25,19.0,135.1,71.0,37.0,33.0,1,98.6,4.66,-2.12,,0.16,-0.79,,,,,-2.75,-3.96,0.69,-2.06,-0.284,-0.213
27,2022,삼성,33,3B,53,36.0,326.2,86.0,26.0,56.0,4,95.3,2.26,-0.84,,0.28,-1.22,0.17,,,,-1.61,-2.32,0.0,-1.61,-0.166,-0.166
28,2022,삼성,33,SS,30,21.0,176.1,95.0,39.0,51.0,5,94.7,4.59,-0.85,,-0.19,0.69,,,,,-0.35,-0.51,1.68,1.33,-0.036,0.137
29,2023,한화,34,1B,6,2.0,25.0,21.0,20.0,1.0,0,100.0,7.56,0.25,,0.05,,,,,,0.3,0.48,-0.2,0.1,0.03,0.01
30,2023,한화,34,2B,8,3.0,30.0,21.0,14.0,7.0,0,100.0,6.3,1.73,,0.08,-0.17,,,,,1.64,2.62,0.1,1.74,0.167,0.177
31,2023,한화,34,3B,30,13.0,127.0,38.0,12.0,24.0,2,94.7,2.55,-0.49,,0.29,0.19,,,,,-0.01,-0.01,0.0,-0.01,-0.001,-0.001
32,2023,한화,34,SS,40,25.0,219.2,86.0,32.0,52.0,2,97.7,3.44,-3.09,,0.02,-1.72,,,,,-4.79,-7.66,1.84,-2.95,-0.488,-0.301
33,2024,롯데,35,2B,10,2.0,27.0,10.0,3.0,7.0,0,100.0,3.33,0.25,,0.16,,,,,,0.41,2.26,0.08,0.49,0.037,0.045
34,2024,롯데,35,3B,14,1.0,41.2,8.0,0.0,8.0,0,100.0,1.73,0.2,,0.29,0.35,,,,,0.83,4.59,0.0,0.83,0.076,0.076
35,2024,롯데,35,SS,3,0.0,6.0,2.0,0.0,2.0,0,100.0,3.0,0.24,,0.05,,,,,,0.3,1.64,0.04,0.34,0.027,0.031
